data,model,neg_multiple,sim_split,metric,mean,ci_lower,ci_upper,id
rcmcs,bom,5,"(0.4, 0.6)",roc_auc,0.8929387324393481,0.8837537113335755,0.9039128443799309,ff90895a6070499b8fdcdc0982526885
rcmcs,bom,5,"(0.0, 0.4)",f1,0.5820537847211257,0.5702174254343279,0.6042989359752153,ff90895a6070499b8fdcdc0982526885
rcmcs,bom,5,"(0.0, 0.4)",binary_precision,0.6655369291960709,0.6383339156112513,0.6941527510816652,ff90895a6070499b8fdcdc0982526885
rcmcs,bom,5,"(0.0, 0.4)",binary_recall,0.5194766080557177,0.5020966011843887,0.5298464285714286,ff90895a6070499b8fdcdc0982526885
rcmcs,bom,5,"(0.0, 0.4)",accuracy,0.83141567963903,0.8248195149464185,0.8372137619853356,ff90895a6070499b8fdcdc0982526885
rcmcs,bom,5,"(0.0, 0.4)",roc_auc,0.8369164517999153,0.8276654348075823,0.8441401922231115,ff90895a6070499b8fdcdc0982526885
rcmcs,bom,10,"(0.8, 1)",f1,0.7761969090243713,0.7646580906327684,0.7883290133859244,ff90895a6070499b8fdcdc0982526885
rcmcs,bom,10,"(0.8, 1)",binary_precision,0.6506017162080261,0.6363130954370717,0.6637876488468357,ff90895a6070499b8fdcdc0982526885
rcmcs,bom,10,"(0.8, 1)",binary_recall,0.9561169762177146,0.946441624219402,0.9633579934514546,ff90895a6070499b8fdcdc0982526885
rcmcs,bom,10,"(0.8, 1)",accuracy,0.9548199321947163,0.9515064287085012,0.9571787244930596,ff90895a6070499b8fdcdc0982526885
rcmcs,bom,10,"(0.8, 1)",roc_auc,0.9855809913761149,0.9832344219661058,0.9884568964919042,ff90895a6070499b8fdcdc0982526885
rcmcs,bom,10,"(0.6, 0.8)",f1,0.7651921843579874,0.7486221479971705,0.782281957038796,ff90895a6070499b8fdcdc0982526885
rcmcs,bom,10,"(0.6, 0.8)",binary_precision,0.6567057620209593,0.6365437072835362,0.6756131769446152,ff90895a6070499b8fdcdc0982526885
rcmcs,bom,10,"(0.6, 0.8)",binary_recall,0.9246772867683317,0.9107674098570596,0.9373021834268156,ff90895a6070499b8fdcdc0982526885
rcmcs,bom,10,"(0.6, 0.8)",accuracy,0.95051886077867,0.9484775034085745,0.9526662626874717,ff90895a6070499b8fdcdc0982526885
rcmcs,bom,10,"(0.6, 0.8)",roc_auc,0.9698886532954705,0.9656281546202257,0.9734570484142898,ff90895a6070499b8fdcdc0982526885
rcmcs,bom,10,"(0.4, 0.6)",f1,0.6259124537351604,0.596840101309358,0.6470777118186725,ff90895a6070499b8fdcdc0982526885
rcmcs,bom,10,"(0.4, 0.6)",binary_precision,0.5819867711996778,0.5610464621650794,0.6001924056363533,ff90895a6070499b8fdcdc0982526885
rcmcs,bom,10,"(0.4, 0.6)",binary_recall,0.6820344205059806,0.6459480337078651,0.706883197887194,ff90895a6070499b8fdcdc0982526885
rcmcs,bom,10,"(0.4, 0.6)",accuracy,0.9281844106463879,0.9244801568441064,0.9321708650190114,ff90895a6070499b8fdcdc0982526885
rcmcs,bom,10,"(0.4, 0.6)",roc_auc,0.8914382985052329,0.8828571771522437,0.899759785955829,ff90895a6070499b8fdcdc0982526885
rcmcs,bom,10,"(0.0, 0.4)",f1,0.49864350827744525,0.4779788965675481,0.514400478767939,ff90895a6070499b8fdcdc0982526885
rcmcs,bom,10,"(0.0, 0.4)",binary_precision,0.5655918883745791,0.5471533034992853,0.5830662376961622,ff90895a6070499b8fdcdc0982526885
rcmcs,bom,10,"(0.0, 0.4)",binary_recall,0.4391157417952683,0.419964459184414,0.4570827844092246,ff90895a6070499b8fdcdc0982526885
rcmcs,bom,10,"(0.0, 0.4)",accuracy,0.8739836826557885,0.8683148122098748,0.8792815445210297,ff90895a6070499b8fdcdc0982526885
rcmcs,bom,10,"(0.0, 0.4)",roc_auc,0.8382665168010479,0.8311113186119748,0.8477496857685634,ff90895a6070499b8fdcdc0982526885
rcmcs,rc_agg,1,"(0.8, 1)",f1,0.9439600618517761,0.9354864884948662,0.9501367347564851,8a155bc5673b4c6aa8667dd55755fe0b
rcmcs,rc_agg,1,"(0.8, 1)",binary_precision,0.9467699381903392,0.9372291297758741,0.9550951578149675,8a155bc5673b4c6aa8667dd55755fe0b
rcmcs,rc_agg,1,"(0.8, 1)",binary_recall,0.9450900638313551,0.9342191649071706,0.9531295968836534,8a155bc5673b4c6aa8667dd55755fe0b
rcmcs,rc_agg,1,"(0.8, 1)",accuracy,0.9496507160321341,0.9428833391547328,0.9571253929444639,8a155bc5673b4c6aa8667dd55755fe0b
rcmcs,rc_agg,1,"(0.8, 1)",roc_auc,0.9815263245480121,0.9775655730572077,0.9855342071400941,8a155bc5673b4c6aa8667dd55755fe0b
