hp_idx	mean_train_loss	std_train_loss	mean_val_loss	std_val_loss	mean_fit_time	train_loss_curve	val_loss_curve	seed	lr	max_epochs	batch_size	optimizer__weight_decay	module__n_factors	module__scl_embeds
16	0.3959437394089157	0.0002942863865341078	0.6374052582812376	0.00022082764095070366	9255.343232054263	[0.6958420237044355, 0.6459279075647012, 0.6138329678204232, 0.5903771434908425, 0.5711458751927445, 0.5540113565110383, 0.5380412481186829, 0.5229026922882298, 0.5085407677160833, 0.4949576940153029, 0.482166181494306, 0.4701956976682712, 0.4590416106380227, 0.4487005991813464, 0.4391415467559597, 0.4303334262960163, 0.4222410833571619, 0.4148139079342355, 0.4080214813386366, 0.4018047491917799]	[0.6942788704649555, 0.693839356848676, 0.6931604722158201, 0.6919293693935824, 0.6899967005575807, 0.6873308390997372, 0.6840389967103693, 0.6802760497426953, 0.6762441636160221, 0.6721267785662453, 0.6680418445419726, 0.6640812312425447, 0.660293579462887, 0.6567109176178139, 0.6533480755764167, 0.6502122483933881, 0.6472963993853416, 0.6445722843444995, 0.6420548678584019, 0.639721556417479]	1234	0.005	5000	10	0.0001	50	True
14	0.4023782720050768	0.0002505526367796426	0.6402201804513629	0.0033449907018715257	6867.870566803962	[0.700653766482325, 0.649710662397201, 0.6177904423813521, 0.5950294696915036, 0.5767145681058813, 0.5605370904021286, 0.5453950479525902, 0.5308637885217429, 0.5168689662175013, 0.5034672528831907, 0.4907167255808963, 0.47867317874688986, 0.46738142768078733, 0.4568520438757274, 0.44706334019074156, 0.437981414215413, 0.42958528099429166, 0.4218409870034416, 0.4147193492376101, 0.4081808335368632]	[0.6980383522582777, 0.6962301814472759, 0.6948722330006686, 0.6933328810827437, 0.6913378434581356, 0.6887703829711967, 0.6856211743432603, 0.6819583106707859, 0.6779325040348204, 0.6737383479004974, 0.6695088398901177, 0.6653657950165667, 0.6614086764814693, 0.657671038504247, 0.6541666351692937, 0.6509014411822899, 0.6478774836569121, 0.6450744587363619, 0.6424658396444121, 0.6400681708381448]	1234	0.005	5000	10	0.0001	20	True
20	0.2133397762903144	0.0015612060630713174	0.6410539781543831	0.001937027525974249	7494.873906223103	[0.6987794687153716, 0.6439488167444791, 0.6008995330453225, 0.5630505052333279, 0.5272731199759819, 0.4923927272830873, 0.45843713780082057, 0.4260006351719983, 0.39568768647006686, 0.36793334351661017, 0.3429286276704922, 0.3206704538111421, 0.3010237754975535, 0.28380436918748847, 0.2687899975037069, 0.25574352567736214, 0.24441506887168754, 0.23458576997653896, 0.22605056093133227, 0.21864404607677992]	[0.7009196895541567, 0.7000900715381115, 0.6993717412292818, 0.6982252186550683, 0.696351402567261, 0.6936007269890436, 0.6899883566480695, 0.6857406572028474, 0.6811969687332918, 0.6766331944710169, 0.6722142892283993, 0.6680463485784464, 0.6641734779436828, 0.6606099615980695, 0.6573225325776703, 0.6542877295773069, 0.6514823449241531, 0.6489050821824507, 0.6465478265757884, 0.6443914832212986]	1234	0.005	5000	10	5e-05	20	True
12	0.4113427841279428	0.0008787673552944827	0.6472367611707783	0.00635433278005804	6605.609740288928	[0.7058337223532595, 0.6528179921673628, 0.6206547175984639, 0.5983492949676558, 0.5808007568016729, 0.5655461026255304, 0.5513398893217464, 0.5376832196973204, 0.5244773599714576, 0.511705252966644, 0.4994391364549862, 0.4877719574039648, 0.47672793198977076, 0.4663104494639726, 0.4565353946728594, 0.4474287433803818, 0.4389256457121785, 0.4310421044175012, 0.4237476738773879, 0.4169773251811895]	[0.7116861793544743, 0.7070029578008852, 0.7042259687866086, 0.7020479899186355, 0.6999152844602411, 0.6975507044291996, 0.6948108292404033, 0.6917327581307827, 0.6883328326376446, 0.6847498646149268, 0.6810934589459345, 0.6774528462153214, 0.673907442317976, 0.6705202397766646, 0.6672940903054528, 0.6642380927131448, 0.6613830790653096, 0.6587217238260594, 0.6562238274476467, 0.653887822703048]	1234	0.005	5000	10	0.0001	10	True
18	0.22208211824865798	0.000632788579001673	0.6482910174880645	0.0020293071898502407	7000.475069573149	[0.7057543913801233, 0.649739059812817, 0.6071587604381543, 0.5706432794843799, 0.5367187183428478, 0.5039751007979288, 0.47213957008920904, 0.4414904316961071, 0.41248999046279, 0.38549157063583117, 0.360770215434489, 0.3384308940047151, 0.3184004665324182, 0.3005438447519616, 0.2846978960302604, 0.2707106888398424, 0.2584019845529592, 0.24758989798091785, 0.23810893173887457, 0.22979758693760646]	[0.7031423908676349, 0.7004052323043194, 0.698582430365592, 0.6967112883373028, 0.6943623467630149, 0.6913216549162265, 0.6876560448905364, 0.6835838397584837, 0.679339985465025, 0.6751509319654737, 0.6711905879917666, 0.6675394821150316, 0.6642059606392919, 0.6612212259220782, 0.6585150282542503, 0.656075427417684, 0.6538392498682751, 0.6518307373806657, 0.6499975951130947, 0.648340087040901]	1234	0.005	5000	10	5e-05	10	True
9	0.16268517223275408	0.0001317600134364496	0.6576501913783752	0.006902080748545554	14101.335662763566	[1.8982747274323495, 0.20658014756365725, 0.10727012221909682, 0.09313275198102358, 0.09277603145941525, 0.09720128957824041, 0.10357421098720376, 0.11071801426157957, 0.11800640175849943, 0.12507553920792544, 0.1316435641074311, 0.1375943149439339, 0.14289405137842479, 0.14746106982380533, 0.15130419955856178, 0.15447058155437843, 0.1570309992835332, 0.15904368489535992, 0.16059750129353, 0.16176750421381603]	[1.9337291566715826, 1.5797308104325494, 1.3781658202270806, 1.2191322803288906, 1.0946110486376397, 0.9987007526633067, 0.9251690594292743, 0.8687618100941876, 0.8257759583371502, 0.792665400357791, 0.7667620921885216, 0.7462212377703273, 0.7296515122785435, 0.71607219453875, 0.7047636466218041, 0.6951477141021849, 0.686888557352942, 0.6796857602981142, 0.6733484682225404, 0.6676469023897376]	1234	0.005	5000	5	5e-05	20	False
11	0.15382898349824076	0.0002616908611727381	0.6617123396351711	0.0026644258670936905	13855.97839156352	[3.282678799402161, 0.21359745375227943, 0.07743544736377657, 0.03992513568978952, 0.04345303119837067, 0.049733053224270275, 0.057095171363429745, 0.0653609527363126, 0.07421274167088382, 0.08319263242742737, 0.09213328715366037, 0.10093814312654321, 0.1094123503885074, 0.11741380874778902, 0.12479704233851847, 0.1314799157222075, 0.13740628790114692, 0.14254830113277064, 0.14694693982062654, 0.15063340311462187]	[2.9749318448612834, 2.4156061836452136, 2.017279299510109, 1.7009432975741186, 1.4520065993035869, 1.2600006816348621, 1.1136537235152055, 1.0025734380234927, 0.9195841072183667, 0.8576939562574412, 0.8118221664970572, 0.7775938289982456, 0.7516777269490116, 0.7314732274461737, 0.715668301065485, 0.7029890179773033, 0.6925345534211272, 0.6837088924535226, 0.676136450021417, 0.6694930324326585]	1234	0.005	5000	5	5e-05	50	False
13	0.3438163797499306	0.0007099091246095089	0.6649080395742344	7.888460222128414e-05	6846.925865583122	[1.404600371708681, 0.6416053692604, 0.4061903432358951, 0.32796609240186797, 0.2992802778115639, 0.2892439284455248, 0.28754930446545285, 0.2899581236473886, 0.2944648836181436, 0.2999415922658149, 0.3057616626743948, 0.31152652636482997, 0.3170405596077859, 0.32215596752844766, 0.3268049853074523, 0.3309449542548273, 0.33455886662284257, 0.33765342128235143, 0.34028953327721373, 0.3425081701545449]	[1.4355627547182606, 1.1847955660265235, 1.043779263423578, 0.9506895669998059, 0.8844422716226131, 0.8356056548715833, 0.7991638634693486, 0.7717007882502229, 0.7505464466837187, 0.7341140770750965, 0.7211358174490579, 0.7106333220024491, 0.7020095755070566, 0.6948178080335089, 0.6887219677190454, 0.6834378595895827, 0.6788697378372474, 0.6747917006915753, 0.6711840151378563, 0.6679260633602707]	1234	0.005	5000	10	0.0001	10	False
7	0.16629385009170533	0.0005804703613863013	0.6663359497194639	0.003680808752514817	12101.685036994517	[1.4540300919839582, 0.38613726773665596, 0.22646200019187876, 0.18225695868212738, 0.16452796420824642, 0.15694146839335932, 0.1541844270854153, 0.153973574997016, 0.15507286799627323, 0.1567309150812328, 0.15851527802936263, 0.16019672909037136, 0.1616689750451771, 0.16292303804665156, 0.16392587098462594, 0.16471531603196113, 0.16527592798221163, 0.16564507870010964, 0.1658510590972295, 0.16592475204989332]	[1.4250506560702425, 1.156683515557598, 1.045495203038404, 0.9681645704211889, 0.9087745614158802, 0.8615401769816736, 0.8239918697998796, 0.7939920599956612, 0.769855320627317, 0.7505672744764037, 0.7349279869894881, 0.7220028786982967, 0.7112084370462489, 0.7021099413920949, 0.6942385749973895, 0.6874858053761485, 0.6816163129045135, 0.6764068492712119, 0.6717003678907325, 0.6675077816232656]	1234	0.005	5000	5	5e-05	10	False
34	0.386360094221011	0.00011092413865286334	0.6704301739021883	0.002722228582394515	2463.8340710047632	[0.6962138490104453, 0.6724016177348602, 0.6512808811032411, 0.6321227338972625, 0.6143856297284017, 0.5976656327297637, 0.5816520596995498, 0.5661257201141411, 0.5509278379328602, 0.5359539408280161, 0.5211412282552058, 0.5064795827427944, 0.4919815373483238, 0.4776678010473996, 0.4635784248007344, 0.44976249716672306, 0.4362633601916489, 0.42312546691364483, 0.4103892635736432, 0.3980861145976957]	[0.6960767416666093, 0.6957038951437077, 0.6953561068915298, 0.6949796290018532, 0.6945321129235, 0.693982043961707, 0.6933045053181879, 0.6924737999977891, 0.6914762584138623, 0.6902993689552835, 0.6889398750043688, 0.6874035166732413, 0.6856959708561344, 0.6838373062521129, 0.6818432273023138, 0.6797417824461233, 0.6775612451863973, 0.6753235428476144, 0.6730525657885501, 0.670771823045562]	1234	0.005	5000	25	5e-05	50	True
